Key	[en] Platform - prod	[ru] Russian 	[ko] Korean 	[zh-cn] Simplified Chinese 	[zh-tw] Traditional Chinese	[fr] French 	[de] German	[es] Spanish 	[pt] Portuguese 	[it] Italian 	[pl] Polish 	[cs] Czech	[tr] Turkish 	[ja] Japanese 	[th] Thai 	[vi] Vietnamese 	[hu] Hungarian
genres.adventure	Adventure	Приключения	어드벤처	冒险	冒險遊戲	Aventure	Abenteuer	Aventura	Aventura	Avventura	Przygoda	Adventura	Macera	アドベンチャー	ผจญภัย	Phiêu lưu	Kaland
genres.puzzle	Puzzle	Головоломки	퍼즐	解谜	益智遊戲	Réflexion	Puzzle	Puzle	Quebra-cabeça	Enigma	Łamigłówki	Logické hry	Bulmaca	パズル	ปริศนา	Giải đố	Fejtörő
genres.strategy	Strategy	Стратегии	전략	策略	策略遊戲	Stratégie	Strategie	Estrategia	Estratégia	Strategia	Strategia	Strategie	Strateji	ストラテジー	กลยุทธ์	Chiến lược	Stratégiai
genres.sports	Sports	Спортивные	스포츠	运动	運動類遊戲	Sport	Sport	Deportes	Esportes	Sport	Sport	Sporty	Spor	スポーツ	กีฬา	Thể thao	Sport
genres.mmo	MMO	ММО	MMO	大型多人在线	大型多人線上角色扮演遊戲	MMO	MMO	MMO	MMO	MMO	MMO	MMO	MMO	MMO	MMO	MMO	MMO
genres.horror	Horror	Ужасы	공포	恐怖	恐怖類遊戲	Horreur	Horror	Horror	Terror	Orrore	Horror	Horory	Korku	ホラー	สยองขวัญ	Kinh dị	Horror
genres.casino	Casino	Казино	카지노	赌场	賭場類遊戲	Casino	Kasino	Casino	Cassino	Casinò	Kasyno	Kasinové hry	Gazino	カジノ	คาสิโน	Casino	Kaszinó
genres.casual	Casual	Казуальные	캐주얼	休闲	休閒類遊戲	Casual	Casual	Casual	Casual	Casual	Rekreacyjne	Oddechové hry	Basit	カジュアル	แคชชวล	Phổ thông	Könnyed

ban.title	User Ban Confirmation	Извещение о блокировке пользователя	사용자 차단 확인	用户封禁确认	用戶封鎖確認	Confirmation d'interdiction d'accès	Bestätigung der Benutzersperre	Confirmación de bloqueo del usuario	Confirmar banimento de usuário	Conferma espulsione dell'utente	Potwierdzenie zablokowania użytkownika	Potvrzení zablokování uživatele	Kullanıcı Engel Onayı	ユーザー凍結の告知	ยืนยันการแบนผู้เล่น	Xác nhận cấm người dùng	Felhasználó tiltásának megerősítése
ban.permanent	You are blocked permanently	Вы заблокированы навсегда	영구적으로 차단되었습니다	你已被永久封禁	你已被永久封鎖	Un blocage permanent vous a été attribué	Du bist dauerhaft gesperrt	Se te ha bloqueado permanentemente	Você foi bloqueado(a) permanentemente	Ti hanno bloccato in modo permanente	Zablokowano cię na stałe	Byl ti trvale zablokován přístup	Kalıcı olarak engellendin	あなたは永久凍結処分が下されました	คุณถูกบล็อกอย่างถาวร	Bạn đã bị cấm vĩnh viễn	Véglegesen letiltottak
ban.until	You are blocked until	Вы заблокированы до	차단되었습니다. 기한:	你将被封禁至	你被封鎖直至	Votre blocage est en vigueur jusqu'au	Du bist gesperrt bis	Se te ha bloqueado hasta:	Você foi bloqueado(a) até	Ti hanno bloccato fino a	Zablokowano cię do	Tvůj přístup je blokován do	Şu tarihe kadar engellendin:	あなたは次の期間まで凍結処分が下されました：	คุณถูกบล็อกจนถึง	Bạn bị cấm cho đến	Letiltottak eddig:
ban.selectError	You have to select at least something	Что-то пошло не так	하나 이상 선택해야 합니다	你必须做出选择	你必須至少選取一項	Vous devez sélectionner quelque chose	Du musst zumindest etwas auswählen	Tienes que elegir algo	Você precisa selecionar pelo menos uma opção	Devi selezionare almeno una voce	Musisz coś wybrać	Musíš vybrat alespoň něco	En az bir şey seçmen gerek	問題が発生しました	ต้องเลือกอย่างน้อยสักอย่าง	Đã xảy ra lỗi	Legalább egy dolgot választanod kell
ban.tip	You have to stop making mistakes	Что-то пошло не так	더는 실수하지 마세요	你必须停止犯错	你必須停止犯錯	Vous devez cesser de faire des erreurs	Bitte versuche, keine Fehler zu machen	Tienes que dejar de cometer errores	Você precisa parar de cometer erros	Devi smettere di commettere errori	Musisz przestać popełniać błędy	Musíš přestat dělat chyby	Hata yapmayı bırakmalısın	過ちを犯すのをやめてください	คุณเลิกทำผิดพลาดแล้ว	Bạn đã dừng phạm sai lầm	Nem kellene ennyi hibáznod
ban.submit	Ok	ОК	확인	确定	確定	D'accord	OK	OK	Ok	OK	OK	OK	Tamam	OK	ตกลง	OK	OK
common.404	Page not found	Страница не найдена	페이지를 찾을 수 없습니다	未找到页面	未找到網頁	Page introuvable	Seite nicht gefunden	Página no encontrada	Página não encontrada	Pagina non trovata	Nie znaleziono strony	Stránka nenalezena	Sayfa bulunamadı	ページが見つかりません	ไม่พบหน้าจอ	Không tìm thấy trang	Az oldal nem található
common.haveToLogIn	You have to log in first	Сначала необходимо войти	우선 로그인해야 합니다	必须先登录	必須先登入	Vous devez d'abord vous connecter	Du musst dich zuerst anmelden	Primero tienes que iniciar sesión	Tens de iniciar sessão primeiro	Devi prima effettuare l'accesso	Musisz się najpierw zalogować	Nejdřív se musíš přihlásit	Önce giriş yapmalısın	先にログインしてください	คุณต้องล็อกอินก่อน	Bạn phải đăng nhập trước	Előbb be kell jelentkezned
auth.guide	User Guide	Руководство пользователя	사용자 가이드	用户指南	使用者導覽	Guide d'utilisation	Benutzerhandbuch	Guía de usuario	Guia do Utilizador	Guida per l'utente	Poradnik użytkownika	Uživatelská příručka	Kullanıcı Rehberi	ユーザーガイド	คู่มือผู้ใช้งาน	Hướng dẫn sử dụng	Felhasználói útmutató
game.modifier	Modification	Модификация	모드	修改	修改	Modification	Änderung	Modificación	Modificação	Modifica	Modyfikacja	Úprava	Değişiklik	MOD	การปรับแต่ง	Sửa đổi	Módosítás
subscription.subscription	Subscription	Подписка	구독	订阅	訂閱	Abonnement	Abonnement	Suscripción	Subscrição	Abbonamento	Subskrypcja	Předplatné	Abonelik	サブスクリプション	การสมัครรับ	Gói đăng ký	Előfizetés
subscription.playerNotFound	Player not found	Игрок не найден	플레이어를 찾을 수 없습니다	未找到玩家	未找到玩家	Personne introuvable	Spieler nicht gefunden	Jugador no encontrado	Jogador não encontrado	Giocatore non trovato	Nie znaleziono gracza	Hráč nenalezen	Oyuncu bulunamadı	プレイヤーが見つかりません	ไม่พบผู้เล่น	Không tìm thấy người dùng	A játékos nem található
subscription.enterEmail	Enter email	Введите электронный адрес	이메일 입력	输入电子邮件	輸入電子郵件	Entrer l'e-mail	E-Mail eingeben	Introducir correo electrónico	Introduz o email	Inserisci l'email	Wprowadź adres e-mail	Zadej e-mail	E-posta gir	メールアドレスを入力	ใส่อีเมล	Nhập email	Add meg az e-mailt
promocodes.loadMore	Load more	Загрузить больше	더 불러오기	加载更多	載入更多	Charger plus	Mehr laden	Cargar más	Carregar mais	Carica altro	Wczytaj więcej	Načíst více	Daha fazla yükle	さらに読み込む	โหลดเพิ่ม	Tải thêm	Továbbiak betöltése
game.firstDays	First {qty} days	Первые {qty} д.	첫 {qty}일	前{qty}天	前{qty}天	{qty} premiers jours	Die ersten {qty} Tage	Primeros {qty} días	Primeiros {qty} dias	Primi {qty} giorni	Pierwsze {qty} dni	První dny ({qty})	İlk {qty} gün	初回{qty}日間	{qty} วันแรก	{qty} ngày đầu	Első {qty} nap
game.firstMonth	First month	Первый месяц:	첫 1개월	第一个月	第一個月	Premier mois	Erster Monat	Primer mes	Primeiro mês	Primo mese	Pierwszy miesiąc	První měsíc	İlk ay	初月は	เดือนแรก	Tháng đầu	Első hónap
game.month	month	в мес.	개월	每月	每月	par mois	Monat	al mes	por mês	al mese	za miesiąc	měsíčně	/ay	/毎月	ต่อเดือน	tháng	havonta
game.then	then	затем:	그 후	之后	之後	puis	dann	y luego	depois	poi	, a potem	potom	sonra	、その後	จากนั้น	sau đó	majd
game.activateTrial	Activate trial	Активировать пробный период	체험 활성화	激活试玩	啟用試玩	Activer l'essai	Testversion aktivieren	Activar prueba	Ativar avaliação	Attiva la prova	Aktywuj wersję próbną	Aktivovat zkušební verzi	Denemeyi etkinleştir	トライアルの有効化	เปิดใช้งานทดลองเล่น	Kích hoạt dùng thử	Próba aktiválása
